"JobTitle","JobLocation","Company","EstimateBaseSalary","LowEstimate","HighEstimate","CompanySize","CompanyType","CompanySector","CompanyFounded","CompanyIndustry","CompanyRevenue","CompanyRating","CompanyFriendReccomendation","CompanyCEOApproval","CompanyNumberOfRaters","CompanyCareerOpportunities","CompensationAndBenefits","CompanyCultureAndValues","CompanySeniorManagement","CompanyWorkLifeBalance","State","python_yn","r_yn","sql_yn","java_yn","javascript_yn","git_yn","excel_yn","tableau_yn","mathematic_yn","statistic_yn","latitude","longitude"
"Other","Melbourne","ANZ Banking Group",115631,94000,143000,"10000+ Employees","Company - Public","Finance",1835,"Banking & Lending","Unknown / Non-Applicable",3.9,80,83,2339,3.9,3.7,4.1,3.7,4,"Victoria",1,1,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Other","Melbourne","ANZ Banking Group",115631,94000,143000,"10000+ Employees","Company - Public","Finance",1835,"Banking & Lending","Unknown / Non-Applicable",4.1,85,86,1596,3.9,3.7,4.1,3.7,4,"Victoria",1,1,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Other","Melbourne","ANZ Banking Group",115631,94000,143000,"10000+ Employees","Company - Public","Finance",1835,"Banking & Lending","Unknown / Non-Applicable",4.1,85,86,1596,3.9,3.7,4.1,3.7,4,"Victoria",1,1,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Other","Melbourne","NAB - National Australia Bank",105936,84000,134000,"10000+ Employees","Company - Public","Finance",1943,"Banking & Lending","$10+ billion (USD)",3.8,80,83,588,3.8,3.5,3.8,3.4,3.9,"Victoria",0,1,1,0,0,0,0,1,1,1,-37.8136,144.9631
"Other","Melbourne","NAB - National Australia Bank",105936,84000,134000,"10000+ Employees","Company - Public","Finance",1943,"Banking & Lending","$10+ billion (USD)",3.8,80,83,588,3.8,3.5,3.8,3.4,3.9,"Victoria",0,1,1,0,0,0,0,1,1,1,-37.8136,144.9631
"Other","Melbourne","NAB - National Australia Bank",105936,84000,134000,"10000+ Employees","Company - Public","Finance",1943,"Banking & Lending","$10+ billion (USD)",3.8,80,83,588,3.8,3.5,3.8,3.4,3.9,"Victoria",0,1,1,0,0,0,0,1,1,1,-37.8136,144.9631
"Other","Melbourne","Telstra",116663,95000,144000,"10000+ Employees","Company - Public","Telecommunications",1901,"Telecommunications Services","$10+ billion (USD)",3.9,79,79,1263,3.6,3.8,3.9,3.4,4.2,"Victoria",0,0,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Other","Melbourne","Telstra",116663,95000,144000,"10000+ Employees","Company - Public","Telecommunications",1901,"Telecommunications Services","$10+ billion (USD)",3.9,79,79,1263,3.6,3.8,3.9,3.4,4.2,"Victoria",0,0,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Other","Melbourne","Telstra",116663,95000,144000,"10000+ Employees","Company - Public","Telecommunications",1901,"Telecommunications Services","$10+ billion (USD)",3.9,79,79,1263,3.6,3.8,3.9,3.4,4.2,"Victoria",0,0,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Other","Melbourne","Knox City Council",93341,89000,97000,"501 to 1000 Employees","Company - Public","Other",1943,"Other","Unknown / Non-Applicable",4,81,78,1,3.3,3.3,3.7,3.5,3.9,"Victoria",0,0,0,0,0,0,0,0,0,1,-37.8136,144.9631
